命缘相思苦刀斩不断忧郁##流行 伤感 安静 ##13442704053##229
你说你的过去总是让你掉眼泪##流行 说唱 伤感 ##13432498217##655
向你展露的那部分天真 是我错了##流行 说唱 ##12575238943##1059
春核美学 | 绿意 盎然 鲜活 旺盛 生命力##轻音乐 流行 清新 ##13592355277##938
那些你熟悉却又不知道名字的轻音乐##轻音乐 学习 治愈 ##26467411##2637774
命缘相思苦刀斩不断忧郁##网络歌曲 流行 伤感 ##13350402076##279
100%松弛度/灵魂乐R&B 慵懒 迷幻氛围##欧美 R&B/Soul 放松 ##9772379403##19700
【崩铁】星穹铁道 新春会/生日会/二创BGM##游戏 ACG ##10094665726##1007
远离喧嚣 沉浸在自己的幻想世界吧##治愈 放松 安静 ##13304244461##253
「 松弛感R & B 」自由的灵魂才是幸福之源##欧美 R&B/Soul 放松 ##13009832748##969
欧美hiphop高质/Trap美式/精神良剂##欧美 流行 说唱 ##13523814994##273
精神萎靡 | 来点 phonk 高燃硬曲##电子 驾车 性感 ##13255967372##2221
欧美&阳光向 | 自由 律动 舒适 松弛 氛围##欧美 流行 放松 ##13111708035##918
合伙人优选｜可惜你不听英文歌 也不懂我##欧美 流行 放松 ##13375692501##82
超绝进鼓|拯救心灵的超爽力量##流行 说唱 ##13164652785##2413
渴望幸福的同时 痛苦也随着蔓延##孤独 思念 ##12926855134##911
松弛感R&B | chill沉浸 音乐是灵魂的救心丸##欧美 放松 R&B/Soul ##12236731834##3005
命缘相思苦刀斩不断忧郁##伤感 安静 ##13136684383##1242
粉色心情 | 可爱 甜蜜 少女 专属心动歌单##流行 快乐 浪漫 ##13477994443##804
你好悲伤 我好想抱抱你##治愈 说唱 流行 ##13247009064##2870
无前奏R&B | 开口沦陷 强吻般浪漫布鲁斯##R&B/Soul 浪漫 流行 ##9744022802##5958
INFP | 安静 温柔 独处 慢热 艺术家##欧美 放松 治愈 ##12494466847##938
日落加州｜顶级浪漫｜在橘子海感受温暖##R&B/Soul 夜晚 浪漫 ##12599035020##511
强推！孕期私藏，耳朵的暖心补给站##流行 华语 网络歌曲 ##13430549581##61
自由之歌｜听见不被定义的自己##华语 流行 另类/独立 ##13375229671##246
前奏一听就爱上｜抓耳旋律｜在日落大道出逃##流行 浪漫 欧美 ##13242318448##753
自由是灵魂的氧气 | 阳光 音乐 生命力！##欧美 流行 治愈 ##9210116329##1902
自由慵懒适合城市漫步的BGM##欧美 流行 R&B/Soul ##13265149679##3346
她力量｜高能量显化 好运磁场源源不断##欧美 流行 兴奋 ##12987846364##5141
孤独感拉满BGM“风虽大却都绕过我的灵魂”##轻音乐 孤独 ##9444599062##7921
合伙人强推 | 国摇必听的60首神仙单曲##华语 摇滚 ##12554269676##170
战歌起｜论韩剧OST的宿命感##韩语 影视原声 ##13299910064##989
深夜emo歌单，遗憾的又何止是她##流行 夜晚 伤感 ##9405032053##1662
【高质量纯音】带你放松|享受自然##学习 治愈 轻音乐 ##12937783580##5292
蓝调R&B丨微醺特调，内卷中的舒心剂##欧美 R&B/Soul 放松 ##13034270031##3751
心动R&B | 轻快鼓点 浪漫心动贩卖机！##欧美 R&B/Soul 浪漫 ##9712300936##1739
欧美R&B榜Ⅰ官方TOP排行榜(每周更新100%）##欧美 R&B/Soul 榜单 ##12359080480##492
INFJ 氛围感｜沉浸式享受 松弛感 惬意松弛##欧美 治愈 流行 ##9923480568##6999
欧美阳光&律动向 | 好运阳光 高能量磁场！##欧美 流行 放松 ##12408179278##326
怀旧R&B | 经典又好听的华语节奏布鲁斯##华语 R&B/Soul 流行 ##13511537953##60
英文清爽调 | 自由音乐氧 阳光律动walk##欧美 流行 快乐 ##9482738367##875
假日多巴胺 | 清爽 阳光 快乐的氛围曲~##欧美 流行 快乐 ##12591233203##2168
清新向R&B | 浪漫鼓点 阳光少年微醺甜蜜感##欧美 R&B/Soul 浪漫 ##10129205647##1792
粉色心动 | 音乐一响 甜妹登场！##华语 流行 快乐 ##13575300575##18
假期清新曲 | 阳光出游 快乐不打烊！##流行 治愈 韩语 ##12592551094##532
无数个夜里 还是会想起你##夜晚 伤感 网络歌曲 ##13268511983##1060
自由是灵魂的氧气 | 好运 提升磁场向！##欧美 流行 治愈 ##12315298638##960
「旋律说唱补给箱」治愈emo的超强音浪##说唱 酒吧 兴奋 ##13579880265##9
拯救歌荒！我心中的华语好歌TOP100##华语 流行 驾车 ##13306013652##4854
天赐的声音第六季 ｜ 《1-6期全收录》##华语 流行 综艺 ##13260176311##2114
台球厅专用｜暴击苏a｜心流专用｜持续更新##华语 流行 夜晚 ##13318434732##1884
多巴胺节奏 | 阳光 律动 快乐氛围曲##欧美 流行 快乐 ##12819319941##2480
她跟萤火虫有两个共同点##网络歌曲 说唱 ##13266139215##1078
治愈纯音｜学习专注必备的合伙人小众轻音乐##轻音乐 学习 放松 ##12488525787##719
Rainy | 阴雨连绵 独属于自己的音乐时刻##欧美 R&B/Soul 蓝调 ##12819191344##3535
孙燕姿上海演唱会2025.4.26/28歌单（正序版##华语 流行 ##12750344158##7324
薛之谦 汪苏泷 毛不易 陈楚生 杨宗纬##华语 流行 感动 ##12582178406##1269
INFP氛围/ 欢迎来到小蝴蝶的精神角落##治愈 轻音乐 欧美 ##12526458697##4305
日系情歌 | 月色真美，只因有你##日语 流行 ##13527812315##31
小众的爱好 不必在意大众的眼光.##华语 摇滚 孤独 ##13037027783##746
【你也喜欢·伍六七】合集歌单 | 更新中##流行 华语 说唱 ##12806708281##724
适合上班听：快乐的歌赶走焦虑！##华语 快乐 工作 ##12497837867##648
高旭-h3R3-刘思鉴-郑润泽-加木-TC-邹沛沛##华语 流行 说唱 ##12661018450##165
2025年黑屋乐队《爱围绕在你左右》巡演歌单##华语 流行 摇滚 ##12828625135##1656
甜甜日语 | 欢快且可爱的甜甜日语歌曲##流行 日语 快乐 ##13519221554##48
日语神曲｜旋律一响又是谁的DNA动了##日语 流行 90后 ##13710020593##24
Dream pop：坠入一场荒诞梦境##另类/独立 夜晚 ##12909374352##902
【温柔女声】像那春日暖风掀起内心涟漪##日语 清新 放松 ##9347704668##279
珠玉 舍得 过火 爱错 跳楼机 唯一 青花##华语 流行 榜单 ##13505154166##298
天赐的声音第六季 | 纯享版##华语 经典 翻唱 ##9921231756##510
寂静随风 | 聆听风说 与孤独发光的灵魂为伴##古典 轻音乐 孤独 ##12414320532##5691
R&B恋爱蜜曲｜丘比特之箭让爱具象化##浪漫 治愈 校园 ##12716745675##986
百首民谣：流浪的诗人和他的吉他##华语 民谣 旅行 ##9977527271##161
运动【硬曲】【战歌起】自律时代##欧美 电子 驾车 ##9501641586##3694
浪漫R&B | 或甜或欲 浪漫撩耳的迷醉氛围##欧美 R&B/Soul 浪漫 ##9174389076##4127
【直播精选】氛围神曲！专治冷场+互动少！##华语 流行 说唱 ##13525586727##49
拒绝焦虑！从听PHONK燃曲开始##电子 驾车 运动 ##12674358786##666
那些一开口就惊艳的古风歌曲##流行 华语 古风 ##13332611886##2547
『力量训练专用』我不会再输了##运动 兴奋 欧美 ##9945944498##1586
那些一遍又一遍放不腻的歌（持续更新）##华语 流行 网络歌曲 ##13286743034##14373
等有钱了我娶你 好不好##流行 伤感 网络歌曲 ##12800364022##302
天花板治愈：周深 毛不易 单依纯 郁可唯##华语 流行 治愈 ##12519863817##619
『心向原野』人生不是轨道，而是一片原野。##欧美 治愈 放松 ##12630574415##3291
改变磁场，吸引好运，快乐玄学100％欧美系##流行 欧美 治愈 ##13490693426##124
真正杀死我的 是突然想到和你零零碎碎的回##思念 安静 治愈 ##9243695846##10620
诗人篇 | 那些藏在音乐里的文学宝藏##经典 欧美 怀旧 ##4893733399##35318
Bossa Nova｜聆听热情桑巴中的慵懒时光##Bossa Nova 爵士 拉丁 ##2879306923##22819
少女心ღ｜恋爱是颗苹果糖##日语 治愈 ACG ##805407063##86070
电影中的钢琴曲丨恋语哼唱，佳片有约##欧美 影视原声 钢琴 ##2407040250##22544
東方抒情集：一梦华胥 永眠不散之宴##日语 感动 ACG ##2003672301##78900
电影中的钢琴曲｜最会讲故事²##影视原声 钢琴 欧美 ##156659312##306176
提琴后摇 I 颅内盛宴，思绪狂欢##后摇 器乐 另类/独立 ##382716015##58362
日系治愈｜想成为一个温柔的人##日语 治愈 ACG ##745510353##90790
「居家古风」如何把生活过成诗##华语 古风 浪漫 ##2685449094##223042
想开家茶馆，放首民谣给从前##华语 民谣 治愈 ##919939187##165131
空灵纯音 ' 孤独症患者的绮丽梦境##电子 夜晚 孤独 ##411796573##189526
钢琴独奏 | 当世界喧嚣时 宇宙依然宁静##轻音乐 钢琴 New Age ##5273305040##28230
『物哀纯音』漫天飞舞的红叶，暮色黄昏##轻音乐 伤感 ACG ##899361402##86133
東方钢琴祭：幻梦终醒 本无不散之宴##轻音乐 钢琴 ACG ##913908853##159456
物哀纯音丨花开于彼岸 魂落于忘川##ACG 轻音乐 伤感 ##5026417815##19016
黑胶唱片机|微醺情调耳边低语##欧美 爵士 酒吧 ##2651898154##32804
【珍藏】必听的一百五十首音乐剧名曲##欧美 小语种 流行 ##404757132##378558
唯美震撼：聆听地球自然的呼吸##欧美 影视原声 感动 ##480747275##52156
【毒】开口沉醉，迷失于这女声##欧美 电子 另类/独立 ##134606748##315004
一百位爵士吉他大师•爵士乐全风格收录##摇滚 蓝调 爵士 ##905194035##51712
『异域幻想』妖精乡 · 骑士的放浪冒险谭##轻音乐 民族 ACG ##872527977##84095
古典音樂史上最優美的夜曲与小夜曲##古典 浪漫 思念 ##171967885##151661
新古典集 I 三滴空明，庆赏无厌##钢琴 古典 器乐 ##579730540##88438
「后摇」一只孤独的巨兽在深海里呼喊##夜晚 孤独 后摇 ##509265479##353344
不得了！这些英文歌的热评信息量好大……##欧美 放松 快乐 ##645384312##538013
国摇金属:梦与花火怒放的桀骜篇章##摇滚 金属 ##3114158828##16294
电影中的钢琴曲｜最会讲故事¹##钢琴 影视原声 ##461600464##118296
致郁纯音丨那些用符号编织的梦境##轻音乐 夜晚 孤独 ##5056460435##6430
『曲作精选』细数古风圈原创作曲人❶##华语 古风 学习 ##2041615881##691826
华语独立乐团｜将温柔塞满黄昏##华语 另类/独立 浪漫 ##3233164347##20324
和风｜物哀，如得其情，则哀矜而勿喜##轻音乐 日语 器乐 ##454371535##278887
乐器之王——钢琴 | 从古至今的指尖魅力##古典 钢琴 器乐 ##644943140##58665
东瀛 1980s 都市流行时光机丨City Pop##日语 流行 经典 ##5483718802##28691
东斯拉夫丨后苏联时代后朋冷潮的复古美学##欧美 摇滚 另类/独立 ##5073767626##51828
电影慰时光 | 华语怀旧文艺片精选##影视原声 经典 怀旧 ##490158454##63722
电影配乐中的古典乐章｜正声雅音##欧美 古典 影视原声 ##413889091##103721
你痛斥我的阴郁 始终没爱过我的不完美 ##伤感 说唱 孤独 ##6884036196##2355
经典老歌，久听不厌##粤语 怀旧 华语 ##988690134##3404319
给我一把弹不累的吉他##民谣 欧美 吉他 ##69571731##61140
艺术之魂丨电影中那些至美的「肖邦时刻」##欧美 古典 钢琴 ##7019680451##5471
古典音乐是如何命名编排的？##古典 学习 经典 ##2671752276##33517
小众系｜宝岛台湾的温柔海风##华语 流行 浪漫 ##6655442283##29332
•国人的噪声美学| 吾生梦幻间, 何事绁尘羁##另类/独立 摇滚 治愈 ##2269884762##97419
爵士与散步可兼得##流行 爵士 放松 ##605499971##147054
『英伦女声』遗世而独立的不列颠玫瑰##欧美 英伦 另类/独立 ##2962407224##24597
浪漫星空物语☆空灵嗓音与星辰旋律##欧美 清新 夜晚 ##5062223334##56661
礼义之邦｜华夏文明五千年，薪火相传永不灭##古风 民族 华语 ##5386704458##7185
不期而遇丨indie音乐场景·「韩国乐队」##韩语 摇滚 另类/独立 ##757295465##7981
『欧美R&B Trap』沉浸式抓耳旋律说唱##欧美 流行 说唱 ##8245517881##51484
戏腔绝唱 | 国风传唱 戏子无情 人间有情##华语 古风 ##8508826257##1698
超棒的日系组合｜夜鹿 YOASOBI 真夜中##日语 流行 治愈 ##7519341475##7057
欧美慵懒R&B | 夕阳挂在海岸上空##R&B/Soul 欧美 放松 ##8873854259##6839
「BTC4」这tm的才叫音乐｜时间减速带 ##欧美 R&B/Soul 说唱 ##8282413383##69109
极简主义 | 听见。即诗。##轻音乐 治愈 感动 ##71289185##321327
大师们牛逼轰轰的Swing Jazz##爵士 欧美 酒吧 ##25201357##234280
百首必备ACG/日系良曲精选集(普及向)##ACG 日语 经典 ##65321097##170468
狂想.奔放.动感.突然想学西语了！✌️##小语种 流行 快乐 ##730705552##38904
［自然纪］生命之律｜大自然的语言##轻音乐 安静 放松 ##7005467##343375
