AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
534860,342371680,4131,16,2024-01-20,73,欧美 R&B/Soul 浪漫 ,178,浪漫R&B | 或甜或欲 浪漫撩耳的迷醉氛围,9174389076,https://music.163.com/playlist?id=9174389076
189569,1853250103,3611,30,2024-11-04,57,欧美 R&B/Soul 蓝调 ,25,Rainy | 阴雨连绵 独属于自己的音乐时刻,12819191344,https://music.163.com/playlist?id=12819191344
312369,8376551360,5781,19,2024-08-06,69,古典 轻音乐 孤独 ,85,寂静随风 | 聆听风说 与孤独发光的灵魂为伴,12414320532,https://music.163.com/playlist?id=12414320532
145062,38950157,801,评论,2024-04-27,11,华语 经典 翻唱 ,130,天赐的声音第六季 | 纯享版,9921231756,https://music.163.com/playlist?id=9921231756
1506,8376551360,10,评论,2025-04-08,1,华语 R&B/Soul 流行 ,82,华语R&B | 浪漫旋律 与你同频共享心跳！,13557717174,https://music.163.com/playlist?id=13557717174
6290232,7883320608,14680,803,2025-02-08,177,华语 流行 网络歌曲 ,184,那些一遍又一遍放不腻的歌（持续更新）,13286743034,https://music.163.com/playlist?id=13286743034
417835,1378494832,2619,16,2025-02-17,29,流行 华语 古风 ,53,那些一开口就惊艳的古风歌曲,13332611886,https://music.163.com/playlist?id=13332611886
20179,1591398612,265,评论,2024-06-17,2,欧美 酒吧 放松 ,316,私藏歌單| 傍晚清吧 适合微醺時聽的歌單,10182395092,https://music.163.com/playlist?id=10182395092
48017,8566840179,395,1,2024-11-01,4,流行 伤感 网络歌曲 ,106,等有钱了我娶你 好不好,12800364022,https://music.163.com/playlist?id=12800364022
339761,7819823232,2426,58,2024-03-28,62,00后 伤感 流行 ,57,我们隔着屏幕 再难过我也说没事,9554715993,https://music.163.com/playlist?id=9554715993
1065901,7961514539,10601,516,2024-02-02,113,思念 安静 治愈 ,67,真正杀死我的 是突然想到和你零零碎碎的回,9243695846,https://music.163.com/playlist?id=9243695846
107749,9123973507,750,25,2024-12-01,9,伤感 影视原声 翻唱 ,273,虐到心痛的歌曲…（哪个是你的意难平呢？）,12939317832,https://music.163.com/playlist?id=12939317832
3946,3283917904,11,1,2025-05-09,1,流行 华语 浪漫 ,224,散场是难免的，尽兴而归就够了,13691234842,https://music.163.com/playlist?id=13691234842
58475,327790034,298,2,2024-05-07,2,欧美 电子 驾车 ,128,『车载』拒绝7妹虞姬精神氮泵,10012093395,https://music.163.com/playlist?id=10012093395
40574,12164616173,332,评论,2024-10-26,11,孤独 安静 ,147,一个人穿过悲和喜那根本不叫勇敢,12775007757,https://music.163.com/playlist?id=12775007757
1363124,445189786,10515,91,2024-06-25,165,欧美 流行 ,100,【旋律控】开口即跪的英文歌 攻陷你的耳朵,12226726878,https://music.163.com/playlist?id=12226726878
16996694,2445590,306161,1048,2016-01-19,4621,影视原声 钢琴 欧美 ,59,电影中的钢琴曲｜最会讲故事²,156659312,https://music.163.com/playlist?id=156659312
3995199,83659385,78900,426,2017-12-05,1553,日语 感动 ACG ,265,東方抒情集：一梦华胥 永眠不散之宴,2003672301,https://music.163.com/playlist?id=2003672301
3502953,45441555,90774,625,2017-05-30,1036,日语 治愈 ACG ,30,日系治愈｜想成为一个温柔的人,745510353,https://music.163.com/playlist?id=745510353
3907642,85351650,58367,577,2016-05-16,1579,后摇 器乐 另类/独立 ,151,提琴后摇 I 颅内盛宴，思绪狂欢,382716015,https://music.163.com/playlist?id=382716015
13305384,411402173,223015,786,2019-02-26,2882,华语 古风 浪漫 ,150,「居家古风」如何把生活过成诗,2685449094,https://music.163.com/playlist?id=2685449094
19340966,320509339,165151,844,2017-09-15,2389,华语 民谣 治愈 ,29,想开家茶馆，放首民谣给从前,919939187,https://music.163.com/playlist?id=919939187
5558198,83659385,159446,1115,2017-09-10,2632,轻音乐 钢琴 ACG ,245,東方钢琴祭：幻梦终醒 本无不散之宴,913908853,https://music.163.com/playlist?id=913908853
11447759,7394345,189522,848,2016-06-29,3563,电子 夜晚 孤独 ,87,空灵纯音 ' 孤独症患者的绮丽梦境,411796573,https://music.163.com/playlist?id=411796573
6291637,83659385,86121,1019,2017-08-29,1474,轻音乐 伤感 ACG ,81,『物哀纯音』漫天飞舞的红叶，暮色黄昏,899361402,https://music.163.com/playlist?id=899361402
2636651,374024623,28240,107,2020-10-04,631,轻音乐 钢琴 New Age ,235,钢琴独奏 | 当世界喧嚣时 宇宙依然宁静,5273305040,https://music.163.com/playlist?id=5273305040
1954438,111089166,19011,146,2020-05-20,607,ACG 轻音乐 伤感 ,177,物哀纯音丨花开于彼岸 魂落于忘川,5026417815,https://music.163.com/playlist?id=5026417815
5588646,341030416,57973,216,2020-04-18,1386,乡村 旅行 驾车 ,325,《美国乡村乐图鉴与简史》,4975456668,https://music.163.com/playlist?id=4975456668
2241127,122356259,32816,137,2019-02-02,923,欧美 爵士 酒吧 ,62,黑胶唱片机|微醺情调耳边低语,2651898154,https://music.163.com/playlist?id=2651898154
18653536,739256,306960,1073,2014-04-06,5415,电子 欧美 酒吧 ,298,世界顶级沙发酒吧音乐。,11067348,https://music.163.com/playlist?id=11067348
4322289,93937325,38596,337,2015-11-27,1086,安静 轻音乐 器乐 ,34,纯音 | 静淌时隙悄然掠过 | 助眠,132259437,https://music.163.com/playlist?id=132259437
6420275,85351650,114090,960,2016-11-18,3379,后摇 钢琴 另类/独立 ,198,钢琴后摇 I 初雪点地，窸窣低语,513217941,https://music.163.com/playlist?id=513217941
5865488,71937732,151669,336,2016-02-19,2307,古典 浪漫 思念 ,47,古典音樂史上最優美的夜曲与小夜曲,171967885,https://music.163.com/playlist?id=171967885
2724578,85351650,42077,318,2016-03-02,953,乡村 欧美 ,90,蓝草选集 I 触碰三月暖阳，哼唱轻快小调,310372396,https://music.163.com/playlist?id=310372396
20978324,129593031,353374,3442,2016-11-13,11244,夜晚 孤独 后摇 ,111,「后摇」一只孤独的巨兽在深海里呼喊,509265479,https://music.163.com/playlist?id=509265479
5579820,85351650,88435,608,2017-01-23,3114,钢琴 古典 器乐 ,98,新古典集 I 三滴空明，庆赏无厌,579730540,https://music.163.com/playlist?id=579730540
30390736,248755337,691714,2570,2018-01-03,6086,华语 古风 学习 ,192,『曲作精选』细数古风圈原创作曲人❶,2041615881,https://music.163.com/playlist?id=2041615881
33483492,97412802,537958,4590,2017-03-29,17665,欧美 放松 快乐 ,63,不得了！这些英文歌的热评信息量好大……,645384312,https://music.163.com/playlist?id=645384312
5401886,1650191296,20341,149,2020-02-08,936,华语 另类/独立 浪漫 ,102,华语独立乐团｜将温柔塞满黄昏,3233164347,https://music.163.com/playlist?id=3233164347
4062900,416512878,58662,438,2017-03-29,812,古典 钢琴 器乐 ,73,乐器之王——钢琴 | 从古至今的指尖魅力,644943140,https://music.163.com/playlist?id=644943140
11165648,5832286,278880,813,2016-08-30,4492,轻音乐 日语 器乐 ,81,和风｜物哀，如得其情，则哀矜而勿喜,454371535,https://music.163.com/playlist?id=454371535
530622,111089166,6432,54,2020-06-09,363,轻音乐 夜晚 孤独 ,61,致郁纯音丨那些用符号编织的梦境,5056460435,https://music.163.com/playlist?id=5056460435
6947086,2445590,118293,673,2016-09-10,2039,钢琴 影视原声 ,49,电影中的钢琴曲｜最会讲故事¹,461600464,https://music.163.com/playlist?id=461600464
4353465,1653985242,72585,320,2019-08-10,705,日语 治愈 ,47,日系治愈：无法抗拒的温柔男声,2928393485,https://music.163.com/playlist?id=2928393485
6554078,7394345,108561,604,2016-11-05,3179,电子 孤独 另类/独立 ,72,冰気电子 ' 沉溺于绮旷的荒芜之境,502767290,https://music.163.com/playlist?id=502767290
2047632,341030416,7283,91,2020-11-23,1056,摇滚 欧美 感动 ,103,「雨之摇滚·倾听爱与自由乐章」,5347651276,https://music.163.com/playlist?id=5347651276
8359159,1323364095,112844,1478,2019-03-14,1268,欧美 学习 流行 ,280,『学霸模式』让音乐来陪伴一天的学习,2708862630,https://music.163.com/playlist?id=2708862630
5725759,341030416,32256,269,2021-03-18,2805,欧美 摇滚 快乐 ,118,可爱摇滚｜一剂抵挡春困的上好良药,6666112560,https://music.163.com/playlist?id=6666112560
310112032,41751076,3405079,5058,2017-11-07,31357,粤语 怀旧 华语 ,115,经典老歌，久听不厌,988690134,https://music.163.com/playlist?id=988690134
4101508,66406603,61134,510,2015-04-30,985,民谣 欧美 吉他 ,33,给我一把弹不累的吉他,69571731,https://music.163.com/playlist?id=69571731
1144919,286427520,33521,237,2019-02-17,892,古典 学习 经典 ,197,古典音乐是如何命名编排的？,2671752276,https://music.163.com/playlist?id=2671752276
6011447,1650191296,29364,146,2021-03-12,1489,华语 流行 浪漫 ,88,小众系｜宝岛台湾的温柔海风,6655442283,https://music.163.com/playlist?id=6655442283
10859209,79640896,97415,1383,2018-06-14,2198,另类/独立 摇滚 治愈 ,59,"•国人的噪声美学| 吾生梦幻间, 何事绁尘羁",2269884762,https://music.163.com/playlist?id=2269884762
319753,374024623,3039,14,2021-06-14,288,摇滚 后摇 孤独 ,195,新式后摇 | 致敬旅行者号 最孤独的星际行者,6806734716,https://music.163.com/playlist?id=6806734716
8061599,320509339,147044,415,2017-02-18,3231,流行 爵士 放松 ,25,爵士与散步可兼得,605499971,https://music.163.com/playlist?id=605499971
641540,379601668,7193,34,2020-12-19,281,古风 民族 华语 ,62,礼义之邦｜华夏文明五千年，薪火相传永不灭,5386704458,https://music.163.com/playlist?id=5386704458
9134872,3011615,232189,1193,2013-10-01,3033,小语种 清新 浪漫 ,30,全球最动听的法语歌,4241903,https://music.163.com/playlist?id=4241903
2818922,341030416,24599,116,2019-08-30,603,欧美 英伦 另类/独立 ,119,『英伦女声』遗世而独立的不列颠玫瑰,2962407224,https://music.163.com/playlist?id=2962407224
6389442,327424933,87115,266,2017-06-06,882,日语 摇滚 清新 ,50,『日摇』烟火盛放的清新夏夜,753054763,https://music.163.com/playlist?id=753054763
4712552,46665989,56268,251,2018-06-23,1950,爵士 放松 欧美 ,71,「Smooth Jazz」柔顺爵士，都市悠闲,2283573424,https://music.163.com/playlist?id=2283573424
1624158,389336627,10080,23,2020-07-13,298,华语 影视原声 古风 ,80,侠客行│江湖风起云涌，仗剑策马扬鞭,5117602648,https://music.163.com/playlist?id=5117602648
571513,3432498,7982,88,2017-06-10,365,韩语 摇滚 另类/独立 ,155,不期而遇丨indie音乐场景·「韩国乐队」,757295465,https://music.163.com/playlist?id=757295465
152852752,39468344,2455411,6498,2015-05-22,25978,欧美 流行 榜单 ,112,评论过万的英文歌与潜力股,75182300,https://music.163.com/playlist?id=75182300
4373693,122356259,45826,135,2018-03-05,1569,欧美 Bossa Nova 放松 ,45,Bossa Nova惬意的下午茶时光,2128071807,https://music.163.com/playlist?id=2128071807
443249,111089166,8540,59,2021-05-20,313,日语 民族 ACG ,41,唯美和风丨载歌载舞 共赏雅乐,6765104549,https://music.163.com/playlist?id=6765104549
34760776,67853143,769394,2341,2015-06-24,7719,古风 华语 古典 ,198,【戏腔专题】伶人入画，一生天涯,83942307,https://music.163.com/playlist?id=83942307
21697958,74029445,426774,2050,2017-07-21,12259,轻音乐 夜晚 放松 ,163,倾听自然 · 海之遐想,819618896,https://music.163.com/playlist?id=819618896
